Sample_ID	Mouse	ido1	Sample group	Experiment	Organ	tdo2	Treatment	Days_since_stopping
KP_Exp_3_D8_C1	C1	1.003509965	C	3	colon	1.000767336	C	0
KP_Exp_3_D8_C2	C2	0.734725102	C	3	colon	0.700176809	C	0
KP_Exp_3_D8_C4	C4	0.697033045	C	3	colon	0.572329274	C	0
KP_Exp_3_D8_C5	C5	0.541278784	C	3	colon	0.791727658	C	0
KP_Exp_3_D8_I1	I1	0.082202991	AVN	3	colon	0.594519755	AVN	1
KP_Exp_3_D8_I2	I2	0.234634907	AVN	3	colon	0.463397513	AVN	1
KP_Exp_3_D8_I4	I4	0.171001088	AVN	3	colon	1.270548277	AVN	1
KP_Exp_3_D8_I5	I5	0.255153064	AVN	3	colon	0.317136256	AVN	1
KP_Exp_4_D8_AVN1	AVN1	0.111960966	AVN	4	colon	0.127648295	AVN	1
KP_Exp_4_D8_AVN2	AVN2	0.101077973	AVN	4	colon	0.253469916	AVN	1
KP_Exp_4_D8_AVN3	AVN3	0.047870877	AVN	4	colon	0.145853207	AVN	1
KP_Exp_4_D8_AVN4	AVN4	0.039455586	AVN	4	colon	0.145978781	AVN	1
KP_Exp_4_D8_AVN5	AVN5	0.05965069	AVN	4	colon	0.205747088	AVN	1
KP_Exp_4_D8_C1	C1	0.39785266	C	4	colon	0.182403262	C	0
KP_Exp_4_D8_C2	C2	0.451507648	C	4	colon	0.490888083	C	0
KP_Exp_4_D8_C3	C3	0.374032596	C	4	colon	0.722139362	C	0
KP_Exp_4_D8_C4	C4	0.335118054	C	4	colon	0.57366242	C	0
KP_Exp_4_D8_C5	C5	0.389914365	C	4	colon	0.382995804	C	0
KP_Exp_4_D8_M1	M1	0.567703143	M	4	colon	0.598153348	M	1
KP_Exp_4_D8_M2	M2	0.456054706	M	4	colon	0.510475749	M	1
KP_Exp_4_D8_M3	M3	0.42043165	M	4	colon	0.417617141	M	1
KP_Exp_4_D8_M4	M4	0.042518099	M	4	colon	0.478316996	M	1
KP_Exp_4_D8_M5	M5	0.886575119	M	4	colon	0.42867572	M	1
KP_Exp_4_D8_A1	A1	0.091289544	A	4	colon	0.266617519	A	1
KP_Exp_4_D8_A2	A2	0.068418208	A	4	colon	0.531753844	A	1
KP_Exp_4_D8_A3	A3	0.070195019	A	4	colon	0.247885988	A	1
KP_Exp_4_D8_A4	A4	0.031310443	A	4	colon	0.273659709	A	1
KP_Exp_4_D8_A5	A5	0.057323683	A	4	colon	0.354564793	A	1
