Sample	16S_qPCR_1to10_dilution	16S_qPCR_per_ul	DNA_elution_volume	16S_qPCR_in_fecal_pellet	Fecal_pellet	16S_qPCR_per_g
KP_Exp_3_D8_C1	"14,830,572.00"	74152860	100	7415286000	0.026	2.85E+11
KP_Exp_3_D8_C2	"24,425,754.00"	122128770	100	12212877000	0.024	5.09E+11
KP_Exp_3_D8_C3	"6,961,865.50"	34809327.5	100	3480932750	0.01	3.48E+11
KP_Exp_3_D8_C4	"52,676,188.00"	263380940	100	26338094000	0.064	4.12E+11
KP_Exp_3_D8_C5	"10,536,862.00"	52684310	100	5268431000	0.023	2.29E+11
KP_Exp_3_D8_I1	"15,863.43"	79317.16309	100	7931716.309	0.041	1.93E+08
KP_Exp_3_D8_I2	"15,396.43"	76982.16309	100	7698216.309	0.037	2.08E+08
KP_Exp_3_D8_I3	"15,666.21"	78331.03027	100	7833103.027	0.042	1.87E+08
KP_Exp_3_D8_I4	"11,757.42"	58787.08496	100	5878708.496	0.037	1.59E+08
KP_Exp_3_D8_I5	"10,969.88"	54849.40918	100	5484940.918	0.035	1.57E+08
KP_Exp_4_D8_A1	"12,127.84"	60639.17969	100	6063917.969	0.027	2.25E+08
KP_Exp_4_D8_A2	"9,348.17"	46740.86426	100	4674086.426	0.037	1.26E+08
KP_Exp_4_D8_A3	"15,558.60"	77793.02246	100	7779302.246	0.031	2.51E+08
KP_Exp_4_D8_A4	"9,932.82"	49664.09668	100	4966409.668	0.046	1.08E+08
KP_Exp_4_D8_A5	"10,332.04"	51660.21484	100	5166021.484	0.03	1.72E+08
KP_Exp_4_D8_AVN1	"16,660.09"	83300.46875	100	8330046.875	0.033	2.52E+08
KP_Exp_4_D8_AVN2	"23,643.97"	118219.8438	100	11821984.38	0.055	2.15E+08
KP_Exp_4_D8_AVN3	"8,873.98"	44369.90234	100	4436990.234	0.027	1.64E+08
KP_Exp_4_D8_AVN4	"12,122.29"	60611.44531	100	6061144.531	0.045	1.35E+08
KP_Exp_4_D8_AVN5	"12,063.57"	60317.87109	100	6031787.109	0.04	1.51E+08
KP_Exp_4_D8_C1	"16,387,837.00"	81939185	100	8193918500	0.018	4.55E+11
KP_Exp_4_D8_C2	"27,379,334.00"	136896670	100	13689667000	0.023	5.95E+11
KP_Exp_4_D8_C3	"38,448,684.00"	192243420	100	19224342000	0.037	5.20E+11
KP_Exp_4_D8_C4	"43,955,396.00"	219776980	100	21977698000	0.044	4.99E+11
KP_Exp_4_D8_C5	"14,162,081.00"	70810405	100	7081040500	0.018	3.93E+11
KP_Exp_4_D8_Cp1	"6,497,707.50"	32488537.5	100	3248853750	0.013	2.50E+11
KP_Exp_4_D8_Cp2	"110,076,960.00"	550384800	100	55038480000	0.053	1.04E+12
KP_Exp_4_D8_Cp3	"26,777,258.00"	133886290	100	13388629000	0.033	4.06E+11
KP_Exp_4_D8_Cp4	"41,875,116.00"	209375580	100	20937558000	0.021	9.97E+11
KP_Exp_4_D8_Cp5	"59,085,388.00"	295426940	100	29542694000	0.044	6.71E+11
KP_Exp_4_D8_M1	"28,003,498.00"	140017490	100	14001749000	0.019	7.37E+11
KP_Exp_4_D8_M2	"47,768,924.00"	238844620	100	23884462000	0.02	1.19E+12
KP_Exp_4_D8_M3	"64,616,092.00"	323080460	100	32308046000	0.043	7.51E+11
KP_Exp_4_D8_M4	"45,207,356.00"	226036780	100	22603678000	0.039	5.80E+11
KP_Exp_4_D8_M5	"54,997,120.00"	274985600	100	27498560000	0.023	1.20E+12
KP_Exp_4_D8_V1	"21,678.03"	108390.1367	100	10839013.67	0.042	2.58E+08
KP_Exp_4_D8_V2	"16,698.38"	83491.87988	100	8349187.988	0.06	1.39E+08
KP_Exp_4_D8_V3	"9,776.82"	48884.12109	100	4888412.109	0.045	1.09E+08
KP_Exp_4_D8_V4	"10,523.47"	52617.34863	100	5261734.863	0.033	1.59E+08
KP_Exp_4_D8_V5	"10,481.41"	52407.0459	100	5240704.59	0.033	1.59E+08
KP_Exp_7_D10_AVN1_2	54408076	272040380	100	27204038000	0.05	5.44E+11
KP_Exp_7_D10_AVN2_2	"43,182,608.00"	215913040	100	21591304000	0.041	5.27E+11
KP_Exp_7_D10_AVN3_2	"39,407,040.00"	197035200	100	19703520000	0.037	5.33E+11
KP_Exp_7_D10_AVN4_2	"55,979,008.00"	279895040	100	27989504000	0.029	9.65E+11
KP_Exp_7_D10_AVN5_2	"42,240,780.00"	211203900	100	21120390000	0.019	1.11E+12
KP_Exp_7_D10_C1	"21,965,150.00"	109825750	100	10982575000	0.016	6.86E+11
KP_Exp_7_D10_C2	"23,039,776.00"	115198880	100	11519888000	0.016	7.20E+11
KP_Exp_7_D10_C3	"22,114,278.00"	110571390	100	11057139000	0.019	5.82E+11
KP_Exp_7_D10_C4	"15,295,683.00"	76478415	100	7647841500	0.025	3.06E+11
KP_Exp_7_D10_C5	"21,391,310.00"	106956550	100	10695655000	0.023	4.65E+11
KP_Exp_7_D7_AVN1_1	26759.03125	133795.1563	100	13379515.63	0.04	3.34E+08
KP_Exp_7_D7_AVN2_1	"24,156.76"	120783.7793	100	12078377.93	0.034	3.55E+08
KP_Exp_7_D7_AVN3_1	"28,647.53"	143237.666	100	14323766.6	0.023	6.23E+08
