Sample_ID	Shannon	Simpson
KP_Exp_3_D8_C1	3.60748027	12.42920401
KP_Exp_3_D8_C2	4.227974247	30.46000146
KP_Exp_3_D8_C3	3.928637562	17.40972363
KP_Exp_3_D8_C4	4.276911249	31.47692565
KP_Exp_3_D8_C5	3.869450462	13.63319832
KP_Exp_3_D8_I1	4.407615756	22.94521974
KP_Exp_3_D8_I2	3.794862944	13.95123452
KP_Exp_3_D8_I3	4.266031439	27.90492569
KP_Exp_3_D8_I4	3.970639179	19.29099855
KP_Exp_3_D8_I5	3.898278324	13.65625999
KP_Exp_4_D8_A1	4.173121405	24.78730985
KP_Exp_4_D8_A2	4.150186585	21.13102909
KP_Exp_4_D8_A5	3.85524747	19.73316326
KP_Exp_4_D8_AVN1	4.653620515	34.61089183
KP_Exp_4_D8_AVN2	4.271660917	28.00152665
KP_Exp_4_D8_AVN3	4.046634571	19.77508313
KP_Exp_4_D8_AVN4	2.684909656	4.057686006
KP_Exp_4_D8_C1	3.780712362	16.84804976
KP_Exp_4_D8_C2	3.332545207	12.1835748
KP_Exp_4_D8_C3	3.102723176	10.98225369
KP_Exp_4_D8_C4	3.909087584	18.10879275
KP_Exp_4_D8_C5	3.654737173	15.32632859
KP_Exp_4_D8_Cp1	2.436296342	3.873122141
KP_Exp_4_D8_Cp2	4.245748485	32.10210234
KP_Exp_4_D8_Cp3	3.106933825	7.383753308
KP_Exp_4_D8_Cp4	4.07327013	28.53855296
KP_Exp_4_D8_Cp5	2.759938189	5.409128556
KP_Exp_4_D8_M1	2.812428206	7.501946944
KP_Exp_4_D8_M2	1.607106711	2.236442322
KP_Exp_4_D8_M3	2.477589524	5.128458579
KP_Exp_4_D8_M4	1.525151955	3.16761159
KP_Exp_4_D8_M5	2.491135162	3.962764538
KP_Exp_4_D8_V1	3.540777429	12.88517444
KP_Exp_4_D8_V2	4.046173202	16.28546933
KP_Exp_4_D8_V4	3.883881505	14.22333735
KP_Exp_7_D10_AVN1_2	1.916976771	4.978076222
KP_Exp_7_D10_AVN2_2	1.809858639	4.033940681
KP_Exp_7_D10_AVN3_2	1.833193678	3.869306709
KP_Exp_7_D10_AVN4_2	1.434672423	2.56340636
KP_Exp_7_D10_AVN5_2	1.945879285	5.250499055
KP_Exp_7_D10_C1	3.353560386	6.799968907
KP_Exp_7_D10_C2	2.55646762	2.968810561
KP_Exp_7_D10_C3	3.870171531	20.30230479
KP_Exp_7_D10_C4	3.107388111	6.588562639
KP_Exp_7_D10_C5	3.165488991	8.859535871
KP_Exp_8_D21_C1	2.844458528	5.307907287
KP_Exp_8_D21_C2	3.790808529	18.43066027
KP_Exp_8_D21_C3	3.580541904	15.05949626
KP_Exp_7_D7_AVN4_1	0.528339525	1.221481712
KP_Exp_8_D21_AVN3	2.133797072	5.284536533
KP_Exp_8_D21_AVN1	1.758295153	3.487439201
KP_Exp_8_D21_AVN2	2.513987754	7.199042022
KP_Exp_7_D7_AVN1_1	2.863904845	4.575939539
KP_Exp_7_D7_AVN2_1	2.646146778	4.160638442
KP_Exp_7_D7_AVN3_1	2.702850703	4.299273729
KP_Exp_7_D7_AVN5_1	3.161763039	8.073860017
