Sample.ID,ASV,count
KP_Exp_3_D8_C1,ASV_1,43702
KP_Exp_3_D8_C2,ASV_1,1758
KP_Exp_3_D8_C3,ASV_1,119686
KP_Exp_3_D8_C4,ASV_1,6592
KP_Exp_3_D8_C5,ASV_1,93029
KP_Exp_3_D8_I1,ASV_1,536
KP_Exp_3_D8_I2,ASV_1,578
KP_Exp_3_D8_I3,ASV_1,282
KP_Exp_3_D8_I4,ASV_1,118
KP_Exp_3_D8_I5,ASV_1,350
KP_Exp_4_D8_A1,ASV_1,758
KP_Exp_4_D8_A2,ASV_1,78
KP_Exp_4_D8_A5,ASV_1,76
KP_Exp_4_D8_AVN1,ASV_1,12678
KP_Exp_4_D8_AVN2,ASV_1,571
KP_Exp_4_D8_AVN3,ASV_1,106
KP_Exp_4_D8_AVN4,ASV_1,38
KP_Exp_4_D8_C1,ASV_1,72295
KP_Exp_4_D8_C2,ASV_1,41255
KP_Exp_4_D8_C3,ASV_1,12958
KP_Exp_4_D8_C4,ASV_1,62486
KP_Exp_4_D8_C5,ASV_1,16803
KP_Exp_4_D8_Cp1,ASV_1,8
KP_Exp_4_D8_Cp2,ASV_1,6275
KP_Exp_4_D8_Cp3,ASV_1,63851
KP_Exp_4_D8_Cp4,ASV_1,19599
KP_Exp_4_D8_Cp5,ASV_1,138982
KP_Exp_4_D8_M1,ASV_1,11685
KP_Exp_4_D8_M2,ASV_1,5990
KP_Exp_4_D8_M3,ASV_1,33300
KP_Exp_4_D8_M4,ASV_1,5
KP_Exp_4_D8_M5,ASV_1,15778
KP_Exp_4_D8_V1,ASV_1,28
KP_Exp_4_D8_V2,ASV_1,114
KP_Exp_4_D8_V4,ASV_1,236
KP_Exp_3_D8_C1,ASV_2,62006
KP_Exp_3_D8_C2,ASV_2,4276
KP_Exp_3_D8_C3,ASV_2,19624
KP_Exp_3_D8_C4,ASV_2,6389
KP_Exp_3_D8_C5,ASV_2,10772
KP_Exp_3_D8_I1,ASV_2,963
KP_Exp_3_D8_I2,ASV_2,421
KP_Exp_3_D8_I3,ASV_2,221
KP_Exp_3_D8_I4,ASV_2,305
KP_Exp_3_D8_I5,ASV_2,1006
