ASV,kingdom,phylum,class,order,family,genus
ASV_1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>
ASV_10,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group
ASV_100,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
ASV_1000,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus
ASV_1001,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Kroppenstedtia
ASV_1002,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter
ASV_1003,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,<not present>
ASV_1004,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium
ASV_1005,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_1006,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,<not present>
ASV_1007,Bacteria,Actinobacteriota,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces
ASV_1008,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca
ASV_1009,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>
ASV_101,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas
ASV_1010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
ASV_1011,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,<not present>
ASV_1012,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>
ASV_1013,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
ASV_1014,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus
ASV_1015,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>
ASV_1016,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia
ASV_1017,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus
