Sample_ID	Mouse	ido1	Sample group	Experiment	Organ	tdo2	Treatment	Days_since_stopping
KP_Exp_14_D11_AVN_PM1	AVN_PM1	1.150728148	AVN_P_R	14	colon	0.196610273	AVN	4
KP_Exp_14_D11_AVN_PM3	AVN_PM3	0.183438168	AVN_P_NR	14	colon	0.258074588	AVN	4
KP_Exp_14_D11_AVN_PM4	AVN_PM4	0.088596593	AVN_P_NR	14	colon	0.19295221	AVN	4
KP_Exp_14_D11_AVN_PM5	AVN_PM5	0.951188325	AVN_P_R	14	colon	0.27781769	AVN	4
KP_Exp_14_D11_AVN2	AVN2	0.11172113	AVN	14	colon	0.178955856	AVN	4
KP_Exp_14_D11_AVN3	AVN3	0.047507142	AVN	14	colon	0.261879243	AVN	4
KP_Exp_14_D11_AVN5	AVN5	0.024181779	AVN	14	colon	0.276785632	AVN	4
KP_Exp_14_D11_C1	C1	1.032322579	C	14	colon	1.097688181	C	0
KP_Exp_14_D11_C2	C2	0.650543328	C	14	colon	1.09903428	C	0
KP_Exp_14_D11_C3	C3	0.368828674	C	14	colon	0.530830869	C	0
KP_Exp_14_D11_C4	C4	0.640926286	C	14	colon	0.687567612	C	0
KP_Exp_14_D11_C5	C5	0.460874823	C	14	colon	0.507688882	C	0
KP_Exp_15_D11_AVN_PM1	AVN_PM1	0.621585389	AVN_P_R	15	colon	0.591031062	AVN	4
KP_Exp_15_D11_AVN_PM2	AVN_PM2	0.071496966	AVN_P_NR	15	colon	0.297782035	AVN	4
KP_Exp_15_D11_AVN_PM3	AVN_PM3	0.043691151	AVN_P_NR	15	colon	0.428125573	AVN	4
KP_Exp_15_D11_AVN_PM4	AVN_PM4	0.60702504	AVN_P_R	15	colon	0.238417213	AVN	4
KP_Exp_15_D11_AVN_PM5	AVN_PM5	0.020059433	AVN_P_NR	15	colon	0.304581723	AVN	4
KP_Exp_15_D11_AVN1	AVN1	0.369228452	AVN	15	colon	0.379916649	AVN	4
KP_Exp_15_D11_AVN2	AVN2	0.431526326	AVN	15	colon	0.153952022	AVN	4
KP_Exp_15_D11_AVN3	AVN3	0.044651454	AVN	15	colon	0.307135001	AVN	4
KP_Exp_15_D11_AVN4	AVN4	0.059983213	AVN	15	colon	0.25815211	AVN	4
KP_Exp_15_D11_AVN5	AVN5	0.209875865	AVN	15	colon	0.262422995	AVN	4
KP_Exp_15_D11_C1	C1	0.86978654	C	15	colon	0.43001972	C	0
KP_Exp_15_D11_C2	C2	0.792222018	C	15	colon	0.322869445	C	0
KP_Exp_15_D11_C3	C3	0.60569382	C	15	colon	0.517974252	C	0
KP_Exp_15_D11_C4	C4	0.718824797	C	15	colon	0.399872606	C	0
KP_Exp_16_D11_AVN_PM1	AVN_PM1	0.088621902	AVN_P_NR	16	colon	0.236028564	AVN	4
KP_Exp_16_D11_AVN_PM10	AVN_PM10	0.034908811	AVN_P_NR	16	colon	0.207614367	AVN	4
KP_Exp_16_D11_AVN_PM2	AVN_PM2	0.310931218	AVN_P_NR	16	colon	0.346747612	AVN	4
KP_Exp_16_D11_AVN_PM3	AVN_PM3	0.220074864	AVN_P_NR	16	colon	0.341854417	AVN	4
KP_Exp_16_D11_AVN_PM5	AVN_PM5	0.11122894	AVN_P_NR	16	colon	0.375291349	AVN	4
KP_Exp_16_D11_AVN_PM7	AVN_PM7	0.075625883	AVN_P_NR	16	colon	0.310260789	AVN	4
KP_Exp_16_D11_AVN_PM8	AVN_PM8	0.515099295	AVN_P_R	16	colon	0.349393479	AVN	4
KP_Exp_16_D11_AVN_PM9	AVN_PM9	0.059944877	AVN_P_NR	16	colon	0.304543367	AVN	4
KP_Exp_16_D11_AVN2	AVN2	0.152374618	AVN	16	colon	0.384170258	AVN	4
KP_Exp_16_D11_AVN3	AVN3	0.109058532	AVN	16	colon	0.138962832	AVN	4
KP_Exp_16_D11_AVN4	AVN4	0.245231256	AVN	16	colon	0.19729931	AVN	4
KP_Exp_16_D11_AVN5	AVN5	0.086009947	AVN	16	colon	0.384698784	AVN	4
KP_Exp_16_D11_C1	C1	0.746581245	C	16	colon	0.52211795	C	0
KP_Exp_16_D11_C2	C2	0.338329888	C	16	colon	0.28842425	C	0
KP_Exp_16_D11_C3	C3	0.462975407	C	16	colon	0.321858906	C	0
KP_Exp_16_D11_C4	C4	0.284820526	C	16	colon	0.339131843	C	0
KP_Exp_16_D11_C5	C5	0.92943464	C	16	colon	0.333996191	C	0
