sample,treatment,organ
C1_I1,Control,Intestine
C1_L1,Control,Liver
C1_S1,Control,Spleen
C2_I1,Control,Intestine
C2_L1,Control,Liver
C2_S1,Control,Spleen
C3_I1,Control,Intestine
C3_L1,Control,Liver
C3_S1,Control,Spleen
A1_I1,Antibiotic,Intestine
A1_L1,Antibiotic,Liver
A1_S1,Antibiotic,Spleen
A2_I1,Antibiotic,Intestine
A2_L1,Antibiotic,Liver
A2_S1,Antibiotic,Spleen
A3_I1,Antibiotic,Intestine
A3_L1,Antibiotic,Liver
A3_S1,Antibiotic,Spleen
L1_I1,LPS,Intestine
L1_L1,LPS,Liver
L1_S1,LPS,Spleen
L2_I1,LPS,Intestine
L2_L1,LPS,Liver
L2_S1,LPS,Spleen
L3_I1,LPS,Intestine
L3_L1,LPS,Liver
L3_S1,LPS,Spleen
