SampleID	x_notPresent_	Archaea	Bacteria
1002D	0	0	12381
1009A	0	0	11462
1009B	0	0	18085
1009C	0	0	12819
1015P	0	0	919
1015Q	0	0	34557
1015R	0	0	24923
1015S	14	0	40975
1015U	0	0	19032
1015V	21	0	29984
1015W	0	0	17037
1034B	0	0	15397
1036A	0	0	38635
1036D	0	0	39372
1037E	65	0	47664
1049A	88	0	82845
1050E	0	10	42829
1053E	0	0	51852
1053M	0	0	28078
1053N	0	0	48730
1053O	0	0	28821
1057	0	0	4681
1058	5	0	279731
1066A	0	0	13104
1066C	0	0	14721
1066F	0	0	17002
1070A	0	0	11589
1082B	687	0	27955
1086A	0	0	130074
1086C	0	0	23776
1088	0	0	280278
1094B	45	0	36999
1106F	0	6	33056
1107O	0	0	8912
1108J	0	0	14809
1110G	0	0	8706
1110J	0	0	25234
1110L	0	0	12779
1110M	0	0	14237
1112F	0	0	40185
1116A	9	3327	203854
1117E	11	0	45601
1120	0	0	1504
1121B	0	0	16865
1121C	0	0	3095
1121D	0	0	44118
1123C	0	0	16820
1123D	14	0	10879
1123G	6	0	25318
1123I	0	0	39979
1123K	0	0	37692
1123M	0	0	87254
1123Q	0	0	14065
1123R	0	0	32607
1123S	0	0	15662
1124A	0	0	3172
1124D	17	0	12018
1124H	0	0	34410
1127D	0	0	48025
1127E	0	0	18028
1132A	0	50	28281
1132B	0	0	14609
1133A	0	0	5507
1133B	0	0	32045
1133D	0	0	26616
1136D	11	0	28413
1138C	0	0	11145
1144E	14	0	31611
1150C	0	0	11083
1150D	0	0	31002
1151H	0	0	23293
1156B	0	0	14199
1157C	0	0	116734
1157D	0	0	73765
1157DD	26	0	14514
1157E	0	0	31132
1157F	0	0	143404
1157T	0	0	7848
1157Y	31	0	26287
1165C	0	0	12103
116E	0	0	255151
1171CC	0	0	15592
1171DD	0	0	30922
1171EE	0	0	47309
1172D	0	0	39109
1173M	0	0	113602
1174J	0	0	116911
1174K	9	0	90255
1174L	21	0	96351
1174M	0	0	86087
1176AA	0	0	72052
1176F	0	0	89691
1176G	0	0	73793
1176J	0	0	66812
1176P	0	0	90074
1176Q	0	0	77231
