SampleID	x_notPresent_	Archaea	Bacteria
1002D	0	0	100
1009A	0	0	100
1009B	0	0	100
1009C	0	0	100
1015P	0	0	100
1015Q	0	0	100
1015R	0	0	100
1015S	0.0341555051355242	0	99.9658444948645
1015U	0	0	100
1015V	0.0699883352774538	0	99.9300116647225
1015W	0	0	100
1034B	0	0	100
1036A	0	0	100
1036D	0	0	100
1037E	0.136185547570659	0	99.8638144524293
1049A	0.106109751244981	0	99.893890248755
1050E	0	0.0233432152944747	99.9766567847055
1053E	0	0	100
1053M	0	0	100
1053N	0	0	100
1053O	0	0	100
1057	0	0	100
1058	0.00178739954814539	0	99.9982126004519
1066A	0	0	100
1066C	0	0	100
1066F	0	0	100
1070A	0	0	100
1082B	2.39857551846938	0	97.6014244815306
1086A	0	0	100
1086C	0	0	100
1088	0	0	100
1094B	0.121477162293489	0	99.8785228377065
1106F	0	0.0181477224608312	99.9818522775392
1107O	0	0	100
1108J	0	0	100
1110G	0	0	100
1110J	0	0	100
1110L	0	0	100
1110M	0	0	100
1112F	0	0	100
1116A	0.00434383898836816	1.60577247936676	98.3898836816449
1117E	0.024116460580549	0	99.9758835394195
1120	0	0	100
1121B	0	0	100
1121C	0	0	100
1121D	0	0	100
1123C	0	0	100
1123D	0.128522904617644	0	99.8714770953824
1123G	0.0236929395040278	0	99.976307060496
1123I	0	0	100
1123K	0	0	100
1123M	0	0	100
1123Q	0	0	100
1123R	0	0	100
1123S	0	0	100
1124A	0	0	100
1124D	0.141254673867885	0	99.8587453261321
1124H	0	0	100
1127D	0	0	100
1127E	0	0	100
1132A	0	0.17648512230419	99.8235148776958
1132B	0	0	100
1133A	0	0	100
1133B	0	0	100
1133D	0	0	100
1136D	0.0386996904024768	0	99.9613003095975
1138C	0	0	100
1144E	0.0442687747035573	0	99.9557312252964
1150C	0	0	100
1150D	0	0	100
1151H	0	0	100
1156B	0	0	100
1157C	0	0	100
1157D	0	0	100
1157DD	0.178817056396149	0	99.8211829436039
1157E	0	0	100
1157F	0	0	100
1157T	0	0	100
1157Y	0.117790105631127	0	99.8822098943689
1165C	0	0	100
116E	0	0	100
1171CC	0	0	100
1171DD	0	0	100
1171EE	0	0	100
1172D	0	0	100
1173M	0	0	100
1174J	0	0	100
1174K	0.00997075245945227	0	99.9900292475405
1174L	0.0217905615739011	0	99.9782094384261
1174M	0	0	100
1176AA	0	0	100
1176F	0	0	100
1176G	0	0	100
1176J	0	0	100
1176P	0	0	100
1176Q	0	0	100
1176W	0	0	100
1176X	0	0	100
1176Y	0	0	100
1176Z	0	0	100
1179D	0	0	100
1179E	0	0	100
1179L	0	0	100
1179M	0	0	100
1179N	0	0	100
1179O	0	0	100
1179P	0	0	100
1179Q	0	0	100
1179R	0	0	100
1179T	0	0	100
1179W	0	0	100
1179Y	0	0	100
1181B	0	0	100
1181C	0	0	100
1182C	0	0	100
1184E	0	0	100
1185A	0	0	100
1186A	0.0155838758830863	0	99.9844161241169
1186B	0.132605646151149	0	99.8673943538489
1186C	0.0943972887860663	0	99.9056027112139
1186D	0.027776749009296	0	99.9722232509907
1186E	0.0287633210130442	0	99.971236678987
1186F	0.0202976137617821	0	99.9797023862382
1186G	0	0	100
1186H	0	0	100
1186I	0	0	100
1186J	0	0	100
1186K	0	0	100
1186M	0	0	100
1186N	0	0	100
1186P	0	0	100
1186R	0.138060315892136	0	99.8619396841079
1186S	0.126357313828421	0	99.8736426861716
1186V	0	0	100
1187B	0	0	100
1191A	0	0	100
1191B	0.0260071477709358	0	99.9739928522291
1191C	0.010253659767794	0	99.9897463402322
1191D	0	0	100
1191E	0	0	100
1191F	0.0040141619634069	0	99.9959858380366
1191G	0.00986971969996052	0	99.9901302803
1191H	0.0944088415932518	0	99.9055911584068
1191J	0.288300639100018	0	99.7116993609
1191K	0.0634615384615385	0	99.9365384615385
1191L	0.037565336853742	0	99.9624346631463
1191M	0.0687725659982182	0	99.9312274340018
1191N	0.0339610267940791	0	99.9660389732059
1194A	0	0	100
1196F	0.0362656719510931	0.0310848616723656	99.9326494663765
1196H	0	0	100
1196I	0	0	100
1196J	0	0	100
1196L	0	0	100
1198B	0	0	100
1198D	0	0	100
1198F	0	0	100
1199D	0	0	100
1204A	0	0	100
1204B	0	0	100
1204C	0	0	100
1204D	0	0	100
1204E	0	0	100
1212A	0	0	100
1215B	0	0	100
1215C	0	0	100
1215D	0	0	100
1215F	0	0	100
1215G	0	0	100
1215H	0	0	100
1225B	0	0.240644928408134	99.7593550715919
1230S	0.107435938464352	0	99.8925640615357
1231F	0.537397862979258	0	99.4626021370207
1237A	0.0132728093228213	0	99.9867271906772
1243C	0	0.0421861816818224	99.9578138183182
1243E	0	0	100
1243G	0	0	100
1244B	0	0	100
1244D	0	0	100
1244O	0	0	100
1247G	0	0	100
1247H	0	0	100
1247J	0	0	100
1247K	0	0	100
1247L	0	0	100
1247M	0	0	100
1247O	0	0	100
1247R	0	0	100
1247U	0	0	100
1247V	0	0	100
1249C	0	0	100
1249G	0	0	100
1249K	0.0142314990512334	0	99.9857685009488
1252BBB	0	0	100
1252I	0.0239604836331466	0	99.9760395163669
1252K	4.00244993608862	0	95.9975500639114
1252L	4.91136890951276	0	95.0886310904872
1252P	0	0	100
1252V	0	0	100
1252W	0	0	100
1253C	0	0	100
1256B	0	0	100
1256C	0	0	100
1257A	0	0	100
1257C	0.0212804766826777	0	99.9787195233173
1259O	0.00371271046427444	0	99.9962872895357
1259W	0.00882192070857667	0	99.9911780792914
1261E	0	0	100
1264A	0	0	100
1266C	0	0	100
1269A	0	0	100
1270A	0	0	100
1272B	0	0	100
1276D	0.146375064577234	0	99.8536249354228
1276E	0.13231402528668	0	99.8676859747133
1279B	0	0	100
1280A	0.432176519133041	0	99.567823480867
1290B	0	0	100
1290C	0	0	100
1290D	0	0	100
1290E	0	0	100
1290F	0	0	100
1290G	0	0	100
1290H	0	0	100
1290J	0.198568757655857	0	99.8014312423441
1290L	0	0	100
1290O	0	0	100
1290Q	0	0	100
1290R	0	0	100
1290U	0	0	100
1290V	0	0	100
1295A	0	0	100
1295C	0	0	100
1305A	0.0315076406028462	0	99.9684923593972
1305B	0.0288776230507604	0	99.9711223769492
1320T	0	0	100
1329O	0	0	100
133D	0.1	0	99.9
134D	0	0	100
1364AA	0	0	100
1364Y	0	0	100
1365C	0	0	100
1370A	0	0	100
1370C	0	0	100
1382A	0	0	100
1397D	0	0	100
140A	0	0	100
1411A	0	0	100
1415B	0.0437206252049404	0	99.9562793747951
1415C	0	0.0255155909058915	99.9744844090941
1415D	0.0203007518796992	0	99.9796992481203
1419A	0	0	100
1419B	0	0	100
1419C	0.757893266275496	0	99.2421067337245
1420D	0	0	100
1428HH	0.437673596498611	0	99.5623264035014
1437K	0	0	100
1437L	0	0	100
143C	0	0	100
1452S	0	0	100
1452V	0	0	100
1455A	0	0	100
1455B	0	0	100
1455C	0	0	100
1455D	0	0	100
1458A	0	0	100
1461CC	0.023089355806973	0	99.976910644193
1461D	0	0	100
1461M	0	0	100
1461N	0	0	100
1461Z	0	0	100
1462J	0	0	100
1462K	0	0	100
1464B	0	0	100
1466A	0	0	100
1471K	0	0	100
1510E	0	0	100
1511I	0.0191064547973124	0	99.9808935452027
1513G	0.0564493367202935	0	99.9435506632797
1513I	0.0966083566228479	0	99.9033916433771
1513L	0.0735487260309955	0	99.926451273969
1513O	0	0	100
1513Q	0	0	100
1525C	0	0	100
1528I	0	0	100
1528K	0	0.0147466525098803	99.9852533474901
1528L	0.669760112064437	0	99.3302398879356
1536A	0	0	100
154D	0	0	100
1557G	0	0	100
1557H	0	0	100
1557I	0	0	100
155H	1.89710610932476	0	98.1028938906752
1566B	0	0	100
1570G	0.209149014489844	0	99.7908509855102
1577F	0	0	100
1580A	0	0.363161369965263	99.6368386300347
1580C	0	1.20394068947767	98.7960593105223
1592A	0	0	100
1601C	0	0	100
1615A	0	0	100
1629A	0	0	100
1643A	0	0	100
1643B	0	0	100
1649A	0	0	100
1657I	0	0	100
1665A	0	0	100
1669B	0	0.0976622108282976	99.9023377891717
1669C	0	0	100
166D	0.00539284154213697	0	99.9946071584579
1677L	0	0	100
1677M	0	0	100
167F	0	0	100
167G	0	0	100
167H	0	0	100
167I	0	0	100
1687H	0	0	100
1705B	0	0	100
1705C	0	0	100
1705D	0	0	100
1705E	0.507107822761659	0	99.4928921772383
1705F	0	0	100
1708B	0	0	100
1708C	0	0	100
1708D	0	0	100
1709A	0	0.0282037438455402	99.9717962561545
1709B	0	0.0766938381979139	99.9233061618021
1709C	0	0.0162913830220516	99.9837086169779
1709D	0	0.0140785583556244	99.9859214416444
1709F	0	0.0216672368571103	99.9783327631429
1721C	0	0	100
1721I	0	0	100
1721J	0	0	100
1755K	0	0	100
1757D	0	0	100
1757E	0	0	100
1757F	0	0	100
1757G	0	0	100
1757H	0	0	100
1757I	0	0	100
1757J	0	0	100
1757L	0	0	100
1757M	0	0	100
1757N	0	0	100
1757O	0	0	100
1757P	0	0	100
1757T	0.0126618340666646	0	99.9873381659333
1760B	0	0	100
1760C	0	0	100
1760E	0	0	100
1760F	0	0	100
1760G	0	0	100
1760H	0	0	100
1760I	0	0	100
1760J	0	0	100
1760K	0	0.00435915040158673	99.9956408495984
1760L	0	0	100
1760N	0	0	100
1783B	0.0017342443897194	0	99.9982657556103
1783C	0.00171883325598584	0	99.998281166744
1804B	0	0	100
1833I	0	0	100
1839A	0	0	100
1839B	0	0	100
1840A	0.119387533603834	0.00333951142947787	99.8772729549667
1840C	0.08481010613379	0.306931812674668	99.6082580811915
1846B	0	0	100
1846C	0	0	100
1846D	0	0	100
1846E	0	0	100
1848I	0	0	100
1848J	0	0	100
1848K	0	0	100
184C	0	0.466958956209392	99.5330410437906
1852G	0	0.0127749270764579	99.9872250729235
1855B	0	0	100
1855C	0	0	100
1855I	0	0	100
1867B	0	0	100
1867C	0	0	100
186E	0	0	100
1873A	0	0	100
1876A	0.0884070783634545	0	99.9115929216365
1876B	0.0839536575810153	0	99.916046342419
1876C	0.0827394479624032	0	99.9172605520376
1894A	0	0	100
1899B	0	0	100
1899D	0	0	100
1902I	0	0	100
1903B	0	0	100
1903C	0	0	100
1911I	0	0	100
1913A	0.0516268184112707	0	99.9483731815887
1915A	0	0	100
1915B	0	0	100
1919C	0	0	100
1919H	0	0	100
191G	0	0	100
191K	0	0	100
1929C	0.0923772469406829	0	99.9076227530593
1929F	6.50328241383664	0	93.4967175861634
192L	0	0	100
1934D	0	0	100
1934E	0	0	100
1934F	0	0	100
1934G	0	0	100
1935I	0	0	100
1939B	0	0	100
1939C	0	0	100
193E	0	0	100
1944C	0	0	100
1945E	0	0	100
1945F	0	0	100
1945G	0	0	100
1953B	0	0	100
1953C	0	0	100
1953D	0	0	100
1986A	0	0	100
198F	0	0	100
198G	0	0	100
198H	0	0	100
1995A	0	0	100
2009D	0	0	100
200C	0	0	100
200E	0.0157803376992268	0	99.9842196623008
200F	0	0	100
2013E	0	0	100
2014A	0	0	100
2019C	0	0.104000708089927	99.8959992919101
201D	0	0	100
2024B	0	0	100
2024C	0.0538084419466699	0	99.9461915580533
202C	0.00378370453051321	0	99.9962162954695
203D	0.00416830214632825	0	99.9958316978537
203E	0.191326530612245	0	99.8086734693878
203F	0	0	100
2050A	0	0	100
2052D	0	0	100
2075B	0	0	100
2083A	0.00214558510105706	0	99.9978544148989
2083B	0	0	100
210A	0	0	100
210D	0	0	100
210G	0	0	100
2120M	0.00953363205380435	0	99.9904663679462
2130D	0	0	100
214D	0	0	100
2162A	0.0364025032529897	0	99.963597496747
2162C	0.0228410788017219	0	99.9771589211983
2162D	0.0204206657137023	0	99.9795793342863
2162P	0	0	100
2162R	0	0	100
2163N	0	0	100
2168B	0	0	100
2182C	0	0	100
2182D	0	0	100
2182H	0	0	100
2182I	0	0	100
2199C	0	0	100
220D	0	0	100
222G	0	0	100
223D	0	0	100
224A	0	0	100
224P	0	0	100
228D	0	0	100
232N	0	0	100
234E	0	0	100
237C	0.00593902901444098	0	99.9940609709856
242B	0	0	100
244B	0	0	100
244C	0.153491941673062	0	99.8465080583269
246B	0	0	100
246C	0	0	100
247B	0	0	100
262J	0	0	100
262N	0	0	100
262O	0	0	100
266C	0	0	100
266F	0	0	100
266G	0	0	100
267E	0.153704272978789	0	99.8462957270212
268D	0	0.0659879336349925	99.934012066365
272A	0	0	100
272B	0	0	100
272E	0	0	100
274B	0.111104613765277	0	99.8888953862347
274C	0	0	100
274D	0.00221901697547986	0	99.9977809830245
276D	0	0	100
278A	1.45038167938931	0	98.5496183206107
278C	0	0	100
278D	0	0	100
278G	0	0	100
285I	0	0	100
291B	0	0	100
296E	0	0	100
298C	0.0174321153201475	0	99.9825678846799
401A	0	0	100
401B	0	0	100
401C	0	0	100
401D	0	0	100
403D	0	0	100
403G	0	0	100
403I	0.070681368391292	0	99.9293186316087
404F	0	0	100
408A	0.105286490080904	0	99.8947135099191
414A	0	0	100
415C	0	0	100
415D	0	0	100
415E	0	0	100
424A	0	0	100
424B	0	0	100
428B	0	0	100
428D	0	0	100
430I	0	0	100
430J	0	0	100
430K	0	0	100
430O	0	0	100
430P	0	0	100
430R	0	0	100
460B	0	0	100
464D	0	0	100
464E	0	0	100
464F	0	0	100
470A	0	0	100
