SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1002D	0	638	95	0	0	0	0	0	0	0	0	8152	0	0	0	0	43	0	0	0	3453	0
1009A	0	3	376	0	0	0	0	0	0	0	0	11083	0	0	0	0	0	0	0	0	0	0
1009B	0	25	3547	0	0	0	0	0	0	0	0	14513	0	0	0	0	0	0	0	0	0	0
1009C	0	784	6	0	0	0	0	0	0	0	0	12029	0	0	0	0	0	0	0	0	0	0
1015P	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	0	14	0	0	0	0	0
1015Q	0	6813	0	0	0	0	0	0	0	0	0	24387	0	0	0	0	3357	0	0	0	0	0
1015R	0	283	0	0	0	0	0	0	0	0	0	23260	0	0	0	0	1380	0	0	0	0	0
1015S	0	166	19	0	0	3	0	0	0	0	0	40541	0	0	0	0	246	0	0	0	0	14
1015U	0	279	6	0	0	0	0	0	0	0	0	18691	0	0	0	0	17	0	0	0	0	39
1015V	0	2776	0	0	0	0	0	0	0	0	0	27115	0	0	0	0	93	0	0	0	0	21
1015W	0	8	0	0	0	0	0	0	0	0	0	16971	0	0	0	0	17	0	0	0	0	41
1034B	0	1672	10	0	0	0	0	0	0	0	0	5319	0	0	0	0	32	0	0	0	8364	0
1036A	0	4723	7	0	0	0	0	0	0	0	0	28403	0	0	0	0	173	0	0	0	5329	0
1036D	0	13076	18	0	0	25	0	0	0	0	0	26222	0	0	0	2	12	0	0	0	17	0
1037E	0	4900	58	0	0	0	0	0	0	0	0	41539	0	0	0	0	1118	0	0	0	6	108
1049A	0	724	157	0	0	0	0	0	0	0	0	73196	136	0	0	0	8504	0	7	0	34	175
1050E	0	1799	922	0	0	0	0	0	0	0	10	39707	0	0	0	0	304	0	0	0	91	6
1053E	0	1742	12878	0	0	0	0	0	0	0	0	36979	0	0	0	0	185	0	68	0	0	0
1053M	0	18	9857	0	0	0	0	0	0	0	0	15523	1376	0	0	0	1304	0	0	0	0	0
1053N	0	16	18791	0	0	0	0	0	0	0	0	29339	277	0	0	0	292	0	0	0	4	11
1053O	0	3	6144	0	0	0	0	0	0	0	0	21102	5	0	0	0	1538	0	0	0	0	29
1057	0	71	10	0	0	0	0	0	0	0	0	4600	0	0	0	0	0	0	0	0	0	0
1058	0	4863	177	0	0	0	0	0	0	0	0	274632	0	0	0	0	31	0	0	0	28	5
1066A	0	654	3	0	0	0	0	0	0	0	0	12400	17	0	0	0	19	0	0	0	4	7
1066C	0	1326	12	0	0	0	0	0	0	0	0	13368	0	0	0	0	5	0	0	0	10	0
1066F	0	9956	263	0	0	0	0	0	0	0	0	4435	2212	0	0	0	63	0	0	0	47	26
1070A	0	1587	179	0	0	0	0	0	0	0	0	9728	0	0	0	0	95	0	0	0	0	0
1082B	0	238	48	0	0	0	0	0	0	0	0	25169	0	0	0	0	5	0	0	0	2495	687
1086A	0	2252	40701	0	0	0	0	0	0	0	0	87073	2	0	0	0	13	0	0	0	33	0
1086C	0	328	1423	0	0	0	0	0	0	0	0	22010	0	0	0	0	0	0	0	0	7	8
1088	0	10686	141	0	0	0	0	0	0	0	0	268266	529	0	0	0	460	0	5	0	191	0
1094B	0	70	18	0	0	0	0	0	0	0	0	36863	0	0	0	0	25	0	0	0	0	68
1106F	0	3728	50	0	0	0	0	0	0	0	6	29211	0	0	0	0	63	0	0	0	4	0
1107O	0	91	222	0	0	72	0	0	0	0	0	7682	0	0	0	0	717	0	0	16	99	13
1108J	0	6	20	0	0	0	0	0	0	0	0	14759	0	0	0	0	0	0	0	0	0	24
1110G	0	13	0	0	0	0	0	0	0	0	0	8665	0	0	0	0	10	0	0	0	18	0
1110J	0	107	53	0	0	0	0	0	0	0	0	25036	0	0	0	0	9	0	0	0	29	0
1110L	0	64	37	0	0	0	0	0	0	0	0	11818	0	0	0	0	13	0	0	0	847	0
1110M	0	15	268	0	0	0	0	0	0	0	0	11873	0	0	0	0	0	0	0	0	2081	0
1112F	0	3490	13	0	0	0	0	0	0	0	0	36634	0	0	0	0	48	0	0	0	0	0
1116A	0	1287	24347	0	0	0	0	0	0	6	3327	177607	0	0	0	0	318	0	9	0	83	206
1117E	0	552	83	0	0	0	0	0	0	0	0	43594	0	0	0	0	1361	0	0	0	0	22
1120	0	40	0	0	0	0	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0
1121B	0	1278	466	0	0	0	0	0	0	0	0	12266	2615	0	0	0	23	0	0	0	217	0
1121C	0	46	0	0	0	31	0	0	0	0	0	2747	0	0	0	0	35	0	0	0	236	0
1121D	0	101	35516	0	0	6	0	0	0	0	0	8456	0	0	0	0	36	0	0	0	3	0
1123C	0	424	5087	0	0	0	0	0	0	0	0	2038	0	0	0	0	1545	0	0	0	7726	0
1123D	0	1710	419	0	0	41	0	0	0	7	0	7475	5	0	0	0	362	0	0	9	366	499
1123G	0	459	28	0	0	0	0	0	0	0	0	24796	0	0	0	0	35	0	0	0	0	6
1123I	0	2673	24	0	0	0	0	0	0	0	0	37153	9	0	0	0	120	0	0	0	0	0
1123K	0	21794	380	0	0	0	0	0	0	11	0	14998	51	0	0	0	458	0	0	0	0	0
1123M	0	40977	948	0	0	0	0	0	0	0	0	45053	0	0	0	0	276	0	0	0	0	0
1123Q	0	257	5	0	0	0	0	0	0	0	0	13752	0	0	0	0	25	0	0	0	0	26
1123R	0	221	11	0	0	0	0	0	0	0	0	32226	7	0	0	0	51	0	0	0	0	91
1123S	0	777	0	0	0	0	0	0	0	0	0	14814	0	0	0	0	12	0	0	0	0	59
