SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1002D	0	5.15305710362652	0.767304741135611	0	0	0	0	0	0	0	0	65.8428236814474	0	0	0	0	0.347306356514013	0	0	0	27.8895081172765	0
1009A	0	0.0261734426801605	3.28040481591345	0	0	0	0	0	0	0	0	96.6934217414064	0	0	0	0	0	0	0	0	0	0
1009B	0	0.138236107271219	19.6129388996406	0	0	0	0	0	0	0	0	80.2488249930882	0	0	0	0	0	0	0	0	0	0
1009C	0	6.11592167875809	0.0468055230517201	0	0	0	0	0	0	0	0	93.8372727981902	0	0	0	0	0	0	0	0	0	0
1015P	0	0	0	0	0	0	0	0	0	0	0	98.4766050054407	0	0	0	0	1.5233949945593	0	0	0	0	0
1015Q	0	19.7152530601615	0	0	0	0	0	0	0	0	0	70.5703620105912	0	0	0	0	9.71438492924733	0	0	0	0	0
1015R	0	1.13549733178189	0	0	0	0	0	0	0	0	0	93.3274485415078	0	0	0	0	5.53705412671027	0	0	0	0	0
1015S	0	0.404986703749787	0.0463538998267828	0	0	0.00731903681475518	0	0	0	0	0	98.9070238356632	0	0	0	0	0.600161018809925	0	0	0	0	0.0341555051355242
1015U	0	1.46595208070618	0.0315258511979823	0	0	0	0	0	0	0	0	98.208280790248	0	0	0	0	0.08932324506095	0	0	0	0	0.204918032786885
1015V	0	9.25179136810532	0	0	0	0	0	0	0	0	0	90.3682719546742	0	0	0	0	0.30994834194301	0	0	0	0	0.0699883352774538
1015W	0	0.0469566238187474	0	0	0	0	0	0	0	0	0	99.6126078534953	0	0	0	0	0.0997828256148383	0	0	0	0	0.240652697071081
1034B	0	10.8592582970709	0.0649477170877444	0	0	0	0	0	0	0	0	34.5456907189712	0	0	0	0	0.207832694680782	0	0	0	54.3222705721894	0
1036A	0	12.2246667529442	0.0181182865277598	0	0	0	0	0	0	0	0	73.5162417497088	0	0	0	0	0.447780509900349	0	0	0	13.7931927009189	0
1036D	0	33.211419282739	0.0457177689728741	0	0	0.0634969013512141	0	0	0	0	0	66.6006298892614	0	0	0	0.00507975210809712	0.0304785126485827	0	0	0	0.0431778929188256	0
1037E	0	10.2662951245574	0.121519411678434	0	0	0	0	0	0	0	0	87.0309455467326	0	0	0	0	2.34239141821534	0	0	0	0.012570973621907	0.226277525194326
1049A	0	0.872993862515525	0.189309442562068	0	0	0	0	0	0	0	0	88.2591971832684	0.163987797378607	0	0	0	10.2540605066741	0	0.00844054839448712	0	0.0409969493446517	0.211013709862178
1050E	0	4.19944443147599	2.15224445015056	0	0	0	0	0	0	0	0.0233432152944747	92.6889049697705	0	0	0	0	0.70963374495203	0	0	0	0.212423259179719	0.0140059291766848
1053E	0	3.35956182982334	24.8360718969374	0	0	0	0	0	0	0	0	71.3164390958883	0	0	0	0	0.356784694900872	0	0.13114248245005	0	0	0
1053M	0	0.0641071301374742	35.1057767647268	0	0	0	0	0	0	0	0	55.2852767291118	4.90063394828691	0	0	0	4.64420542773702	0	0	0	0	0
1053N	0	0.0328339831725836	38.5614611122512	0	0	0	0	0	0	0	0	60.2072645187769	0.568438333675354	0	0	0	0.599220192899651	0	0	0	0.00820849579314591	0.0225733634311512
1053O	0	0.0104090767148954	21.3177891121058	0	0	0	0	0	0	0	0	73.2174456125742	0.0173484611914923	0	0	0	5.33638666250304	0	0	0	0	0.100621074910655
1057	0	1.51676992095706	0.21362956633198	0	0	0	0	0	0	0	0	98.269600512711	0	0	0	0	0	0	0	0	0	0
1058	0	1.73842480052621	0.063273944004347	0	0	0	0	0	0	0	0	98.1754225412532	0	0	0	0	0.0110818771985014	0	0	0	0.0100094374696142	0.00178739954814539
1066A	0	4.99084249084249	0.0228937728937729	0	0	0	0	0	0	0	0	94.6275946275946	0.12973137973138	0	0	0	0.144993894993895	0	0	0	0.0305250305250305	0.0534188034188034
1066C	0	9.00754024862441	0.0815162013450173	0	0	0	0	0	0	0	0	90.8090482983493	0	0	0	0	0.0339650838937572	0	0	0	0.0679301677875144	0
